customer_id,verified_review_count
13524293,1
13525246,2
13526634,1
13529234,1
13530947,2
13531783,1
13535015,1
13535478,1
13536228,1
13536750,1
13537087,1
13539645,1
13540526,1
13541258,1
13545420,1
13547773,1
13554323,2
13555885,1
13557359,1
13562699,1
13565585,1
13567213,1
13567253,1
13574396,1
13576912,2
13582470,2
13584042,2
13588251,1
13588482,1
13588514,1
13591605,1
13593153,1
13593405,1
13594386,1
13596867,2
13600041,1
13600782,1
13602205,1
13604451,1
13604631,2
13605313,1
13606469,1
13608892,1
13616350,4
13617441,1
13619913,1
13620429,1
13622260,1
13625692,2
13625751,1
13629053,1
13631520,1
13636232,1
13638485,2
13640614,1
13641491,1
13641974,1
13645370,5
13646545,1
13651455,1
13651457,1
13651504,1
13658523,1
13659523,1
13659680,1
13661140,1
13662082,1
13664817,1
13665894,2
13666529,1
13676685,1
13679884,1
13683985,2
13691354,1
13692737,1
13694932,1
13698454,1
13698933,1
13699155,2
13699216,1
13700661,1
13707095,1
13708592,1
13709139,1
13712962,2
13713505,1
13715055,1
13717609,1
13720421,1
13723709,2
13724551,1
13728645,1
13734467,1
13736201,1
13737250,1
13738082,1
13738463,1
13739481,1
13739757,1
13741213,1
13742377,1
13746294,1
13746404,1
13747113,5
13747210,1
13748344,1
13750535,1
13751925,1
13752341,1
13754595,1
13754735,1
13755549,1
13755820,1
13761963,1
13764519,2
13765126,1
13772867,1
13779541,1
13781824,1
13782420,1
13783644,1
13783910,1
13786109,1
13788786,1
13789117,2
13795107,1
13795665,1
13797285,1
13801089,1
13801492,1
13802398,1
13804038,2
13804980,1
13805011,2
13805784,1
13807969,1
13809193,2
13810885,1
13811464,1
13813863,1
13814587,1
13815377,1
13815781,1
13816287,2
13816595,1
13820757,1
13826005,1
13833085,8
13834953,1
13836557,1
13839559,1
13850779,4
13851475,3
13854845,1
13856350,1
13857554,1
13858878,1
13859122,1
13860230,3
13861587,1
13864879,1
13866632,2
13867122,2
13868504,1
13869008,1
13870822,1
13871484,1
13872539,1
13872825,1
13874144,1
13875184,1
13875712,1
13877322,1
13877329,1
13878948,1
13879708,4
13879838,1
13880992,1
13881896,1
13886413,1
13887091,1
13890482,1
13893181,1
13899088,1
13902921,1
13906168,1
13908726,1
13909183,1
13909527,1
13911215,1
13913433,1
13916181,1
13918783,1
13919747,2
13921406,1
13921766,1
13925332,1
13926134,1
13926417,1
13927883,3
13929001,6
13929961,1
13931069,1
13933143,1
13935331,1
13940592,2
13940741,1
13941193,1
13947293,1
13949339,1
13951347,1
13954484,2
13956062,1
13962523,1
13962602,1
13963104,1
13964831,1
13965172,1
13965884,1
13967467,1
13967576,1
13968428,1
13968585,2
13969496,1
13969814,2
13970240,1
13970980,1
13971254,3
13972247,1
13975866,1
13979810,1
13982758,1
13983853,2
13984538,1
13985289,1
13986439,1
13987441,1
13988210,2
13988414,1
13988567,1
13989134,1
13990897,1
13990923,2
13992036,3
13992151,1
13992238,1
13994397,1
13996954,1
13998290,1
13999491,1
13999614,1
14000300,1
14001140,2
14001373,1
14003414,1
14005298,1
14006439,1
14007472,1
14008164,1
14008768,1
14010317,1
14011397,1
14016726,1
14017287,1
14017748,2
14024860,1
14025257,1
14028969,1
14029924,3
14031496,1
14033400,1
14034704,1
14036856,1
14037264,1
14038857,1
14040053,2
14040175,1
14042636,1
14043102,1
14043871,1
14044004,1
14044896,1
14045622,1
14047634,2
14049260,2
14049865,1
14050281,1
14065140,1
14067876,1
14068690,2
14072098,1
14072415,2
14073083,1
14073433,1
14075059,1
14075716,1
14081731,1
14083491,2
14084619,1
14085786,2
14087198,1
14088499,1
14092614,1
14096315,1
14098325,1
14102374,1
14103349,1
14115286,1
14117003,1
14117237,1
14117546,1
14118090,1
14119783,1
14120780,1
14121015,4
14122567,1
14123769,1
14125278,1
14126994,1
14127805,1
14129281,1
14131015,1
14133423,1
14133566,1
14134946,1
14135395,1
14139392,1
14140431,4
14144876,1
14146602,1
14147653,1
14151639,1
14151785,1
14151921,1
14153706,1
14155096,1
14157424,1
14158186,1
14158187,1
14158288,1
14162626,3
14163488,1
14163962,1
14167133,1
14167246,1
14167500,1
14168037,1
14173672,2
14176645,1
14179496,1
14179642,1
14179738,1
14180331,1
14181285,1
14184635,1
14185800,1
14187033,1
14188900,1
14190193,1
14193417,1
14195820,1
14198055,3
14198977,1
14202665,1
14203685,1
14208047,1
14211536,2
14217822,1
14220514,1
14221201,1
14221813,1
14224419,1
14225924,1
14230009,1
14231476,1
14233621,1
14235022,1
14235467,3
14235933,2
14237914,1
14242708,1
14242755,1
14242930,8
14243971,2
14244739,5
14245766,1
14246555,1
14248911,2
14251319,1
14252995,1
14254384,1
14256478,1
14258433,1
14258479,1
14259377,2
14260506,2
